Reason,City,City & Province,,hub,Food Hub,Total,adjusted_hungry_people,,coordinate
Food & Meals,Cassidy,"Cassidy, BC","Cassidy BC,",,,1,5,,"49.066601,-123.8666,""Cassidy BC,"",""Cassidy, BC, CA"",,MapQuest,city/town"
Food & Meals,Cawston,"Cawston, BC","Cawston BC,",,,1,5,,"54.144851,-125.380685,""Cawston BC,"",""BC, CA"",,MapQuest,state/province"
Food & Meals,Chase,"Chase, BC","Chase BC,",,,1,2,,"50.817227,-119.682499,""Chase BC,"",""Chase, BC, CA"",,MapQuest,city/town"
Food & Meals,Enderby,"Enderby, BC","Enderby BC,",North Okanagan,Land to Table Network,1,3,,"50.550289,-119.140135,""Enderby BC,"",""Enderby, BC, CA"",,MapQuest,city/town"
Food & Meals,Golden,"Golden, BC","Golden BC,",,,1,4,,"51.29615,-116.963048,""Golden BC,"",""Golden, BC, CA"",,MapQuest,city/town"
Food & Meals,Fort St James,"Fort St James, BC","Fort St James BC,",,,1,5,,"54.442505,-124.247531,""Fort St James BC,"",""Ft Saint James, BC, CA"",,MapQuest,city/town"
Food & Meals,Crofton,"Crofton, BC","Crofton BC,",,,1,5,,"48.8666,-123.649902,""Crofton BC,"",""Crofton, BC, CA"",,MapQuest,city/town"
Food & Meals,Osoyoos,"Osoyoos, BC","Osoyoos BC,",,,1,2,,"49.032519,-119.463409,""Osoyoos BC,"",""Osoyoos, BC, CA"",,MapQuest,city/town"
Food & Meals,Peachland,"Peachland, BC","Peachland BC,",,,1,2,,"49.775145,-119.73643,""Peachland BC,"",""Peachland, BC, CA"",,MapQuest,city/town"
Food & Meals,Peers,"Peers, BC","Peers BC,",,,1,5,,"49.3973,-121.31806,""Peers BC,"",""Peers Creek Road, Hope, BC, CA"",,MapQuest,street"
Food & Meals,Pemberton,"Pemberton, BC","Pemberton BC,",North Pemberton,Sea to Sky Community Services Center- Pemberton Food Bank,1,11,,"50.317863,-122.799115,""Pemberton BC,"",""Pemberton, BC, CA"",,MapQuest,city/town"
Food & Meals,Port Renfrew,"Port Renfrew, BC","Port Renfrew BC,",,,1,5,,"48.549999,-124.416603,""Port Renfrew BC,"",""Port Renfrew, BC, CA"",,MapQuest,city/town"
Food & Meals,Rock Creek,"Rock Creek, BC","Rock Creek BC,",,,1,5,,"49.066601,-118.983299,""Rock Creek BC,"",""Rock Creek, BC, CA"",,MapQuest,city/town"
Food & Meals,Rossland,"Rossland, BC","Rossland BC,",Lower Columbia,UWBC Stewarding,1,4,,"49.076825,-117.796904,""Rossland BC,"",""Rossland, BC, CA"",,MapQuest,city/town"
Food & Meals,Sicamous,"Sicamous, BC","Sicamous BC,",,,1,2,,"50.833984,-118.980842,""Sicamous BC,"",""Sicamous, BC, CA"",,MapQuest,city/town"
Food & Meals,Saltspring Island,"Saltspring Island, BC","Saltspring Island BC,",,,1,2,,"48.856743,-123.509339,""Saltspring Island BC,"",""Saltspring Island, BC, CA"",,MapQuest,city/town"
Food & Meals,Savona,"Savona, BC","Savona BC,",,,1,5,,"50.75,-120.849998,""Savona BC,"",""Savona, BC, CA"",,MapQuest,city/town"
Food & Meals,Red Deer,"Red Deer, BC","Red Deer BC,",,,1,5,,"54.144851,-125.380685,""Red Deer BC,"",""BC, CA"",,MapQuest,state/province"
Food & Meals,View Royal,"View Royal, BC","View Royal BC,",,,1,4,,"48.456008,-123.441051,""View Royal BC,"",""View Royal, BC, CA"",,MapQuest,city/town"
Food & Meals,Wasa,"Wasa, BC","Wasa BC,",,,1,5,,"49.766602,-115.716599,""Wasa BC,"",""Wasa, BC, CA"",,MapQuest,city/town"
Food & Meals,Sunset Prairie,"Sunset Prairie, BC","Sunset Prairie BC,",,,1,5,,"48.598177,-123.412578,""Sunset Prairie BC,"",""Saanichton, BC, CA"",,MapQuest,city/town"
Food & Meals,Squamish,"Squamish, BC","Squamish BC,",,,1,5,,"49.69834,-123.153583,""Squamish BC,"",""Squamish, BC, CA"",,MapQuest,city/town"
Food & Meals,Ymir,"Ymir, BC","Ymir BC,",,,1,5,,"49.2833,-117.217,""Ymir BC,"",""Ymir, BC, CA"",,MapQuest,city/town"
Food & Meals,Whistler,"Whistler, BC","Whistler BC,",,,1,8,,"50.116003,-122.959426,""Whistler BC,"",""Whistler, BC, CA"",,MapQuest,city/town"
